trigger,direction,signal_def,source
F0,SHORT,OBV_Velocity:hi + TChan_A15:hi + VWAP_Side:==1,DECORR
F0,SHORT,Micro_HLAsymmetry:lo + Micro_LogReturn:hi + MultiDay_Slope:hi,DECORR
F0,SHORT,Micro_Hurst:hi + PrevDay_Low_Dist_ATR:hi + Volume:hi,DECORR
F0,SHORT,WeeklyOpen_Dist_ATR:hi + ADX_Value:lo + Lower_Wick:hi,DECORR
F0,SHORT,Sqz_Val:hi + Volume_Avg_10:hi + PrevDay_Close_Dist_ATR:hi,DECORR+PRICED
F0,SHORT,Sqz_Val:hi + DailyOpen_Dist_ATR:hi + Volume:hi,DECORR
F0,SHORT,D2D_ATR_MA:hi + Sqz_Val:hi + DailyOpen_Dist_ATR:hi,DECORR
F0,SHORT,AT_Score_LT:hi + Volume_Avg_10:hi + RangeOsc_State:==-1,DECORR
F0,SHORT,OR_High_Dist_ATR:hi + VWAP_Z:lo + OBVf_Signal:==1,DECORR
F0,SHORT,ATR_1M:hi + WeeklyOpen_Dist_ATR:hi + PrevDay_High_Side:==1,DECORR
F0,SHORT,Micro_LogReturn:lo + WeeklyOpen_Dist_ATR:hi + Lower_Wick:hi,DECORR
F0,SHORT,D2D_ATR:hi + Round_1000_Dist_ATR:lo + WeeklyOpen_Dist_ATR:hi,DECORR
F0,SHORT,Micro_LogReturn:hi + Micro_PriceAccel:lo + Micro_VolOfVol:lo,DECORR
F0,SHORT,D2D_ATR:hi + AT_Score_LT:hi + RangeOsc_State:==-1,DECORR
F0,SHORT,D2D_DirStep:==1 + DailyOpen_Side:==-1 + OR_High_Side:==1,DECORR
F0,SHORT,AT_Slope_ST:hi + Micro_VPIN:lo + Sqz_State:==-1,DECORR
F0,SHORT,OBV_Velocity:hi + TChan_A15:hi + PrevDay_Close_Side:==1,DECORR
F0,SHORT,Bar_Range:hi + Session_Low_Dist_ATR:hi + Harmonic_OBVf_Concordance:==1,DECORR
F0,SHORT,Sqz_Val:hi + PrevDay_Close_Dist_ATR:hi + Volume:hi,DECORR
F0,SHORT,Slope_Accel_LT:lo + Momentum_Value:hi + Micro_MomoTransfer:lo,DECORR
F0,SHORT,D2D_ATR:hi + OBVf_DirStepCount:hi + WeeklyOpen_Dist_ATR:hi,DECORR
F0,SHORT,AT_Slope_LT:hi + Micro_BarOverlap:hi + OBVf_Signal:==1,DECORR
F0,LONG,Volume_Avg_10:hi + Micro_FailedBreak:hi + Micro_Rejection:lo,PRICED
F0,LONG,RangeOsc_Val:hi + Session_Low_Dist_ATR:lo + PrevDay_Close_Side:==-1,PRICED
F0,LONG,Slope_EMA_ST:hi + Micro_Rejection:lo + Session_Low_Dist_ATR:lo,PRICED
F0,LONG,Sqz_Val:hi + Sqz_State:==1 + RangeOsc_State:==-2,PRICED
F0,LONG,Slope_EMA_ST:lo + Micro_VolOfVol:hi + AT_Regime_ST:==1,PRICED
F0,LONG,AT_Slope_ST:lo + Micro_Hurst:hi + Round_1000_Dist_ATR:lo,PRICED
F0,LONG,Micro_MomoTransfer:hi + Micro_RangeVelocity:lo + AT_Regime_LT:==1,PRICED
F0,LONG,OBV_Macd:lo + Volume_Ratio_10:hi + AT_Regime_ST:==1,PRICED
F0,LONG,Micro_Amihud:hi + AT_Regime_ST:==1 + OR_Low_Side:==-1,PRICED
F0,LONG,OBV_Macd:lo + Micro_WickImbalance:lo + ADX_Value:hi,PRICED
F0,LONG,Micro_AutoCorr:hi + Session_Low_Dist_ATR:lo + TChan_A15:hi,PRICED
F0,LONG,AT_Slope_LT:lo + AT_Slope_ST:lo + Micro_RollProxy:hi,PRICED
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + Volume:hi,PRICED
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + Harmonic_OBVf_Concordance:==0,PRICED
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + ADX_Rising:==0,PRICED
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + Lower_Wick:hi,PRICED
F0,LONG,Bars_Since_Flip:hi + Micro_CSSpread:hi + Upper_Wick:hi,PRICED
F0,LONG,AT_Slope_ST:lo + Micro_VPIN:lo + OBVf_Signal:==1,PRICED
F0,LONG,AT_Slope_ST:lo + Micro_OrderFlowDelta:hi + Micro_WickImbalance:lo,PRICED
F0,LONG,Slope_EMA_ST:lo + Micro_Hurst:hi + PrevDay_High_Side:==-1,PRICED
F0,LONG,KAMA_Dist:lo + VWAP_Dist_ATR:lo + DailyOpen_Dist_ATR:lo,PRICED
F0,LONG,OBV_Velocity:hi + Micro_FractalDim:hi + OR_Low_Side:==-1,PRICED
F0,LONG,AT_Slope_LT:lo + Micro_FailedBreak:hi + Micro_RangeAccel:lo,PRICED
F0,LONG,Efficiency_Ratio:hi + Micro_RangeVelocity:lo + RangeOsc_State:==2,PRICED
F0,LONG,OBV_Macd:lo + Sqz_State:==1 + RangeOsc_State:==-2,PRICED
F0,LONG,Micro_PriceAccel:hi + VWAP_Sigma:hi + D2D_Signal:==1,PRICED
F0,LONG,Slope_Accel_LT:hi + OBV_Macd:lo + Micro_TickIntensity:hi,PRICED
F0,LONG,Micro_Amihud:lo + Micro_RangeAccel:lo + Micro_VPIN:hi,PRICED
F0,LONG,Slope_Accel_LT:hi + Sqz_State:==1 + RangeOsc_State:==-2,PRICED
F0,LONG,Micro_WickImbalance:hi + Lower_Wick:lo + AT_Regime_LT:==1,PRICED
F0,LONG,Bars_Since_Flip:hi + Volume_Avg_10:hi + MultiDay_Position:lo,PRICED
F0,LONG,OBV_Macd:lo + Micro_OrderFlowDelta:lo + Micro_WickImbalance:hi,PRICED
F0,LONG,Momentum_Value:hi + Micro_Hurst:hi + AT_Regime_ST:==1,PRICED
F0,LONG,AT_Slope_ST:lo + Micro_RangeAccel:hi + RangeOsc_State:==2,PRICED
F0,SHORT,Sqz_Val:hi + Micro_TickIntensity:hi + Session_High_Dist_ATR:hi,PRICED
F0,SHORT,Micro_BarEntropy:lo + Micro_Hurst:hi + Session_High_Dist_ATR:lo,PRICED
F0,LONG,Micro_VPIN:lo + Volume:hi + ST_Flip_Event:==-1,PRICED
F0,LONG,Slope_Accel_ST:lo + Micro_VPIN:lo + ST_Flip_Event:==-1,PRICED
F0,LONG,D2D_ATR_MA:hi + Micro_VPIN:lo + ST_Flip_Event:==-1,PRICED
F0,LONG,Micro_GarmanKlass:hi + Micro_VolOfVol:hi + PrevDay_Close_Dist_ATR:hi,PRICED
F0,SHORT,Sqz_Val:hi + Micro_OrderFlowDelta:hi + Session_High_Dist_ATR:hi,PRICED
F0,LONG,Bars_Since_Flip:hi + Volume_Avg_10:hi + Session_Low_Dist_ATR:lo,PRICED
F0,LONG,AT_Slope_ST:lo + Micro_VolOfVol:hi + OBVf_Signal:==1,PRICED
F0,LONG,Bars_Since_Flip:hi + PrevDay_Low_Dist_ATR:lo + OR_Low_Side:==-1,PRICED
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + Body_Size:hi,PRICED
F0,LONG,Slope_Accel_LT:hi + AT_Regime_ST:==1 + OR_Low_Side:==-1,PRICED
F0,LONG,Micro_MicroGap:lo + AT_Regime_ST:==1 + OR_Low_Side:==-1,PRICED
F0,LONG,OBV_Macd:lo + Harmonic_LLEMA:hi + Micro_Rejection:lo,PRICED
F0,LONG,Micro_Rejection:lo + AT_Regime_ST:==1 + PrevDay_Low_Side:==-1,PRICED
