direction,condition,variable,bars_present,share_traded_bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl_where_present,mean_multiplicity,book_slots_dir,book_slot_share_dir
LONG,ST_Flip_Event:==-1,ST_Flip_Event,30,0.0499,28,2,6.87,140.14,4204.1,2.53,5,0.0087
LONG,Efficiency_Ratio:hi,Efficiency_Ratio,31,0.0516,27,4,7.13,568.01,17608.4,1.06,2,0.0035
LONG,VWAP_Sigma_ATR:lo,VWAP_Sigma_ATR,27,0.0449,24,3,16.33,1196.79,32313.4,1.0,1,0.0017
LONG,Sqz_Val:hi,Sqz_Val,25,0.0416,24,1,11.36,950.32,23758.0,1.0,1,0.0017
LONG,PrevDay_High_Side:==1,PrevDay_High_Side,25,0.0416,23,2,6.84,227.2,5679.9,1.48,4,0.007
LONG,Micro_PriceAccel:lo,Micro_PriceAccel,23,0.0383,22,1,15.74,580.33,13347.7,1.0,1,0.0017
LONG,D2D_DirStep:==-1,D2D_DirStep,22,0.0366,21,1,8.45,219.53,4829.6,1.0,1,0.0017
LONG,Harmonic_LLEMA:hi,Harmonic_LLEMA,21,0.0349,21,0,5.29,125.92,2644.3,1.0,1,0.0017
LONG,Slope_Accel_ST:lo,Slope_Accel_ST,21,0.0349,20,1,6.95,174.68,3668.3,1.0,1,0.0017
LONG,EMA_Oscillator:lo,EMA_Oscillator,21,0.0349,19,2,8.38,107.89,2265.7,1.0,1,0.0017
LONG,Micro_GarmanKlass:hi,Micro_GarmanKlass,19,0.0316,19,0,9.68,230.45,4378.6,1.0,2,0.0035
LONG,Micro_LogReturn:lo,Micro_LogReturn,19,0.0316,18,1,6.26,138.53,2632.1,1.21,3,0.0052
LONG,Dist_To_PoC_ATR:lo,Dist_To_PoC_ATR,17,0.0283,17,0,7.0,179.83,3057.1,1.0,1,0.0017
LONG,AT_Score_LT:hi,AT_Score_LT,17,0.0283,17,0,5.35,170.06,2891.0,1.35,3,0.0052
LONG,Momentum_Value:lo,Momentum_Value,16,0.0266,16,0,7.88,221.63,3546.1,1.06,2,0.0035
LONG,ST_Flip_Event:==1,ST_Flip_Event,17,0.0283,16,1,5.76,322.35,5479.9,1.06,2,0.0035
LONG,OBVf_Signal:==-1,OBVf_Signal,16,0.0266,16,0,10.31,1301.72,20827.5,1.06,2,0.0035
LONG,Micro_IBSP:hi,Micro_IBSP,15,0.025,15,0,10.67,295.49,4432.3,1.0,1,0.0017
LONG,Micro_IBSP:lo,Micro_IBSP,13,0.0216,13,0,6.15,280.85,3651.1,1.0,1,0.0017
LONG,Micro_FractalDim:hi,Micro_FractalDim,14,0.0233,13,1,8.21,93.95,1315.3,1.0,1,0.0017
LONG,Micro_RollProxy:lo,Micro_RollProxy,13,0.0216,12,1,10.0,391.4,5088.2,1.0,1,0.0017
LONG,Micro_TickIntensity:lo,Micro_TickIntensity,12,0.02,12,0,17.75,2157.22,25886.6,1.0,1,0.0017
LONG,PrevDay_Close_Dist_ATR:hi,PrevDay_Close_Dist_ATR,12,0.02,12,0,12.25,235.97,2831.7,1.0,1,0.0017
LONG,OR_High_Side:==1,OR_High_Side,12,0.02,12,0,6.92,529.32,6351.8,1.0,1,0.0017
LONG,AT_Lookback_LT:hi,AT_Lookback_LT,11,0.0183,11,0,5.27,315.99,3475.9,1.09,2,0.0035
LONG,Micro_MomoTransfer:lo,Micro_MomoTransfer,9,0.015,9,0,5.33,119.93,1079.4,1.0,2,0.0035
LONG,PrevDay_Low_Side:==1,PrevDay_Low_Side,9,0.015,9,0,4.56,96.23,866.1,1.0,1,0.0017
LONG,OR_High_Side:==0,OR_High_Side,9,0.015,9,0,5.89,177.02,1593.2,1.0,1,0.0017
LONG,VAH_Dist_ATR:hi,VAH_Dist_ATR,9,0.015,9,0,5.33,351.46,3163.1,1.0,1,0.0017
LONG,WeeklyOpen_Dist_ATR:lo,WeeklyOpen_Dist_ATR,9,0.015,9,0,5.33,351.46,3163.1,1.0,1,0.0017
LONG,D2D_Dynamic_Sensitivity:lo,D2D_Dynamic_Sensitivity,9,0.015,8,1,14.11,751.21,6760.9,1.0,1,0.0017
LONG,ADX_Value:lo,ADX_Value,8,0.0133,8,0,6.12,175.22,1401.8,1.25,2,0.0035
LONG,Sqz_State:==-1,Sqz_State,8,0.0133,7,1,7.25,119.73,957.8,1.0,1,0.0017
LONG,Micro_Amihud:lo,Micro_Amihud,7,0.0116,7,0,5.0,287.16,2010.1,1.0,1,0.0017
LONG,Micro_VPIN:hi,Micro_VPIN,7,0.0116,7,0,5.0,287.16,2010.1,1.0,1,0.0017
LONG,Micro_Rejection:hi,Micro_Rejection,7,0.0116,7,0,5.29,220.99,1546.9,1.0,1,0.0017
LONG,Micro_CSSpread:lo,Micro_CSSpread,6,0.01,6,0,5.33,219.9,1319.4,1.0,1,0.0017
LONG,Micro_ThrustEff:lo,Micro_ThrustEff,4,0.0067,4,0,6.25,249.98,999.9,1.0,1,0.0017
SHORT,Volume_Avg_10:hi,Volume_Avg_10,113,0.3038,112,1,5.4,299.1,33797.9,1.42,8,0.0252
SHORT,Bar_Range:hi,Bar_Range,113,0.3038,109,4,5.02,287.85,32527.5,1.32,4,0.0126
SHORT,Sqz_Val:hi,Sqz_Val,89,0.2392,87,2,4.74,97.68,8693.4,3.17,8,0.0252
SHORT,Micro_Hurst:hi,Micro_Hurst,88,0.2366,86,2,4.55,148.57,13074.3,1.65,5,0.0157
SHORT,PrevDay_High_Side:==1,PrevDay_High_Side,85,0.2285,81,4,4.86,132.19,11236.0,1.62,6,0.0189
SHORT,D2D_Dynamic_Sensitivity:lo,D2D_Dynamic_Sensitivity,80,0.2151,78,2,5.42,362.82,29025.3,1.89,8,0.0252
SHORT,Lower_Wick:lo,Lower_Wick,76,0.2043,74,2,5.33,383.36,29135.6,2.08,5,0.0157
SHORT,D2D_ATR_MA:hi,D2D_ATR_MA,72,0.1935,71,1,5.11,146.53,10550.2,1.0,2,0.0063
SHORT,Micro_RangeVelocity:lo,Micro_RangeVelocity,72,0.1935,70,2,5.04,408.84,29436.2,1.4,3,0.0094
SHORT,Session_High_Dist_ATR:hi,Session_High_Dist_ATR,71,0.1909,69,2,4.82,100.45,7131.7,2.31,4,0.0126
SHORT,AT_Score_LT:hi,AT_Score_LT,65,0.1747,64,1,5.28,152.18,9891.8,2.82,6,0.0189
SHORT,AT_Slope_ST:lo,AT_Slope_ST,65,0.1747,64,1,5.22,129.51,8418.2,1.02,3,0.0094
SHORT,D2D_ATR:hi,D2D_ATR,65,0.1747,63,2,5.18,155.86,10131.2,1.12,2,0.0063
SHORT,Volume:hi,Volume,63,0.1694,61,2,5.54,383.7,24173.0,1.08,3,0.0094
SHORT,RangeOsc_State:==2,RangeOsc_State,59,0.1586,58,1,4.56,181.06,10682.5,1.92,6,0.0189
SHORT,Micro_TickIntensity:hi,Micro_TickIntensity,57,0.1532,56,1,4.86,102.82,5860.8,1.51,3,0.0094
SHORT,RangeOsc_State:==-1,RangeOsc_State,54,0.1452,52,2,5.24,145.41,7851.9,1.93,4,0.0126
SHORT,Micro_Entropy:lo,Micro_Entropy,51,0.1371,51,0,5.39,468.03,23869.6,1.29,3,0.0094
SHORT,Micro_HLAsymmetry:lo,Micro_HLAsymmetry,53,0.1425,50,3,4.83,139.85,7412.3,1.11,3,0.0094
SHORT,Session_High_Dist_ATR:lo,Session_High_Dist_ATR,52,0.1398,50,2,4.75,187.62,9756.4,1.54,3,0.0094
SHORT,EMA_Oscillator:lo,EMA_Oscillator,49,0.1317,48,1,5.35,461.89,22632.5,1.02,2,0.0063
SHORT,OBVf_Signal:==1,OBVf_Signal,45,0.121,44,1,4.82,143.93,6477.0,1.13,4,0.0126
