bar,time,direction,depth_q,admissible_nA,admitted,capped,slots,distinct_conds,distinct_vars,conds_per_slot,vars_per_slot,eH_conds,eH_vars,bar_pnl,loss_event,cond_set,sig_set,ADX_Value,ATR_1M,Volume,Micro_Hurst,Micro_FailedBreak,D2D_Trend_Dir,AT_Slope_ST,exp_conds_random,exp_vars_random
138205,2026.06.10 18:26,SHORT,7,7,7,0,21,11,11,0.5238,0.5238,8.43,8.43,88.2,0,AT_Lookback_ST:hi|AT_Slope_ST:lo|Bars_Since_Flip:hi|D2D_ATR_MA:hi|Micro_CSSpread:lo|Micro_TickIntensity:hi|PrevDay_Close_Dist_ATR:hi|Session_High_Dist_ATR:hi|Slope_Accel_LT:lo|Sqz_Val:hi|Volume_Avg_10:hi,194|208|213|217|284|292|293,24.857997,26.062174,371,0.25658,0.0,-1,-0.000113,19.676030442106526,18.888596375345333
138211,2026.06.10 18:32,SHORT,6,6,6,0,18,10,10,0.5556,0.5556,8.217,8.217,93.6,0,AT_Lookback_ST:hi|Bars_Since_Flip:hi|D2D_ATR_MA:hi|Micro_TickIntensity:hi|Momentum_Value:hi|PrevDay_Close_Dist_ATR:hi|Session_High_Dist_ATR:hi|Sqz_Val:hi|TChan_A15:hi|Volume_Avg_10:hi,194|213|217|273|292|293,19.544929,31.000792,367,0.280369,-0.225801,-1,-8.9e-05,17.045884868532983,16.47150210578053
138225,2026.06.10 18:46,SHORT,5,5,5,0,15,11,11,0.7333,0.7333,9.449,9.449,795.0,0,AT_Slope_ST:lo|Bars_Since_Flip:hi|D2D_ATR_MA:hi|DailyOpen_Dist_ATR:hi|Micro_CSSpread:lo|Micro_HLAsymmetry:hi|Micro_Hurst:lo|PrevDay_Close_Dist_ATR:hi|Session_High_Dist_ATR:hi|Sqz_Val:hi|Volume_Avg_10:hi,208|213|217|251|293,20.835829,33.740466,363,0.269354,-0.029638,-1,-7.6e-05,14.358215859511613,13.967131712972364
138238,2026.06.10 18:59,SHORT,7,7,7,0,21,12,12,0.5714,0.5714,9.427,9.427,89.6,0,AT_Lookback_ST:hi|Bars_Since_Flip:hi|D2D_ATR_MA:hi|Micro_OrderFlowDelta:hi|Micro_RollProxy:lo|Micro_TickIntensity:hi|PrevDay_Close_Dist_ATR:hi|Session_High_Dist_ATR:hi|Sqz_Val:hi|Volume:hi|Volume_Avg_10:hi|Volume_Ratio_10:lo,194|213|217|291|292|293|296,20.852958,26.263289,353,0.306271,-0.09519,-1,-7.1e-05,19.676030442106526,18.888596375345333
138241,2026.06.10 19:02,SHORT,5,5,5,0,15,8,8,0.5333,0.5333,6.648,6.648,88.5,0,AT_Lookback_ST:hi|Bars_Since_Flip:hi|D2D_ATR_MA:hi|Micro_TickIntensity:hi|PrevDay_Close_Dist_ATR:hi|Session_High_Dist_ATR:hi|Sqz_Val:hi|Volume_Avg_10:hi,194|213|217|292|293,18.628305,34.451914,381,0.39615,0.0,-1,-6.4e-05,14.358215859511613,13.967131712972364
138285,2026.06.10 19:46,LONG,5,5,5,0,15,10,10,0.6667,0.6667,8.615,8.615,98.5,0,Bars_Since_Flip:hi|KAMA_Dist:lo|Micro_CSSpread:hi|MultiDay_Position:lo|OR_Low_Side:==-1|PrevDay_Low_Dist_ATR:lo|RangeOsc_State:==-1|Session_Low_Dist_ATR:lo|Upper_Wick:hi|Volume_Avg_10:hi,50|53|56|57|77,15.489251,37.847952,350,0.378303,-0.105686,1,-3.2e-05,13.933964781772266,13.604790342516026
138326,2026.06.10 20:27,SHORT,4,4,4,0,12,7,7,0.5833,0.5833,6.0,6.0,270.4,0,AT_Lookback_ST:hi|Bars_Since_Flip:hi|Micro_TickIntensity:hi|PrevDay_Close_Dist_ATR:hi|Session_High_Dist_ATR:hi|Sqz_Val:hi|Volume_Avg_10:hi,194|213|292|293,16.833261,23.549397,310,0.574955,0.0,-1,-2.8e-05,11.61144858072867,11.371771386700862
138347,2026.06.10 20:48,LONG,7,7,7,0,21,14,14,0.6667,0.6667,12.079,12.079,238.7,0,AT_Regime_ST:==1|Bars_Since_Flip:hi|D2D_Signal:==1|Micro_Amihud:hi|Micro_PriceAccel:hi|Micro_VolOfVol:hi|MultiDay_Position:lo|OR_Low_Side:==-1|PrevDay_Low_Dist_ATR:lo|RangeOsc_State:==-2|Session_Low_Dist_ATR:lo|VWAP_Sigma:hi|Volume_Avg_10:hi|WeeklyOpen_Side:==-1,53|56|57|80|108|115|140,27.740418,61.890997,392,0.406068,0.686691,1,-2.8e-05,18.856446644718016,18.199528660922656
138351,2026.06.10 20:52,LONG,11,7,7,0,33,18,18,0.5455,0.5455,14.252,14.252,730.8,0,ADX_Rising:==0|AT_Regime_ST:==1|Bars_Since_Flip:hi|Harmonic_OBVf_Concordance:==0|KAMA_Dist:lo|Micro_GarmanKlass:hi|Micro_PriceAccel:lo|Micro_VolOfVol:hi|Micro_WickImbalance:hi|MultiDay_Position:lo|OR_High_Side:==-1|OR_Low_Side:==-1|PrevDay_Close_Dist_ATR:hi|PrevDay_High_Side:==-1|PrevDay_Low_Dist_ATR:lo|Session_Low_Dist_ATR:lo|Volume:hi|Volume_Avg_10:hi,51|53|56|57|71|72|74|75|76|87|115,23.608833,59.678559,391,0.456941,-0.427289,1,-2.7e-05,27.817084794051137,26.258658030358355
138357,2026.06.10 20:58,LONG,9,5,5,0,27,17,17,0.6296,0.6296,14.445,14.445,96.0,0,AT_Regime_LT:==1|AT_Regime_ST:==1|Bars_Since_Flip:hi|Lower_Wick:lo|Micro_Amihud:hi|Micro_FractalDim:hi|Micro_WickImbalance:hi|MultiDay_Position:lo|OBV_Velocity:hi|OR_Low_Side:==-1|PrevDay_Low_Dist_ATR:lo|RangeOsc_State:==-2|Slope_Accel_LT:hi|Sqz_State:==1|Sqz_Val:hi|Volume_Avg_10:hi|WeeklyOpen_Side:==-1,53|56|80|116|134|140|148|152|179,20.181192,37.082853,358,0.398508,0.0,1,-2.4e-05,23.473053431498993,22.401786415067697
