direction,cond_a,cond_b,bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl,bars_same_signal,bars_cross_signal_only
LONG,Micro_OrderFlowDelta:hi,Momentum_Value:hi,29,29,0,22.45,1939.35,56241.2,0,29
LONG,D2D_DirStep:==1,Slope_EMA_ST:lo,31,29,2,22.03,1724.38,53455.9,0,31
LONG,Micro_RangeAccel:hi,Micro_Rejection:lo,29,29,0,13.03,389.56,11297.2,26,3
LONG,AT_Lookback_ST:hi,Sqz_State:==1,29,29,0,21.24,909.8,26384.2,27,2
LONG,AT_Slope_ST:lo,Sqz_State:==1,30,29,1,20.8,862.65,25879.6,0,30
LONG,Micro_RollProxy:hi,Micro_WickImbalance:lo,29,29,0,20.69,2169.16,62905.5,0,29
LONG,RangeOsc_State:==-2,WeeklyOpen_Side:==-1,31,29,2,12.65,1821.69,56472.4,28,3
LONG,Slope_EMA_ST:lo,Volume_Ratio_10:hi,30,29,1,23.37,1203.88,36116.4,0,30
LONG,AT_Slope_ST:lo,Micro_BarOverlap:lo,29,29,0,18.41,1092.91,31694.4,29,0
LONG,D2D_ATR:hi,VWAP_Sigma:hi,29,29,0,21.14,1108.2,32137.7,0,29
LONG,Micro_BarOverlap:lo,VWAP_Sigma:hi,29,29,0,18.41,1092.91,31694.4,29,0
LONG,AT_Regime_ST:==1,Micro_OrderFlowDelta:hi,29,29,0,21.55,2366.52,68629.1,0,29
LONG,PrevDay_Low_Side:==-1,Volume:hi,29,29,0,15.9,1076.89,31229.8,0,29
LONG,VWAP_Dist_ATR:lo,VWAP_Side:==1,29,29,0,8.41,908.5,26346.6,27,2
LONG,KAMA_Dist:lo,VWAP_Dist_ATR:lo,29,28,1,9.38,360.5,10454.4,29,0
LONG,Micro_WickImbalance:hi,OR_High_Side:==-1,30,28,2,9.67,316.96,9508.8,29,1
LONG,MultiDay_Position:lo,Volume:hi,28,28,0,22.25,571.57,16004.0,0,28
LONG,Upper_Wick:hi,VWAP_Dist_ATR:lo,28,28,0,8.89,1032.66,28914.5,0,28
LONG,Micro_LogReturn:hi,Micro_TickIntensity:hi,28,28,0,9.21,288.49,8077.7,26,2
LONG,Micro_MicroGap:lo,OR_High_Side:==-1,29,28,1,14.1,452.63,13126.4,26,3
LONG,OR_High_Side:==-1,Session_Low_Dist_ATR:lo,29,28,1,12.34,1107.65,32121.9,16,13
LONG,AT_Slope_ST:lo,OR_High_Side:==-1,29,28,1,19.34,1064.36,30866.3,0,29
LONG,Bar_Range:hi,Micro_HLAsymmetry:hi,29,28,1,22.97,1764.4,51167.7,0,29
LONG,PrevDay_High_Side:==-1,Round_1000_Dist_ATR:lo,30,28,2,18.8,1616.75,48502.5,0,30
LONG,VWAP_Side:==-1,Volume:hi,29,28,1,20.17,1248.22,36198.3,0,29
LONG,D2D_ATR_MA:hi,Micro_VPIN:lo,28,28,0,12.68,310.74,8700.7,19,9
LONG,PrevDay_High_Side:==-1,VWAP_Side:==-1,31,28,3,19.71,1070.6,33188.6,0,31
LONG,AT_Regime_LT:==1,Body_Size:hi,29,28,1,19.55,930.32,26979.4,0,29
LONG,AT_Regime_ST:==1,PoC_Side:==1,28,28,0,15.5,2291.91,64173.4,0,28
LONG,AT_Slope_LT:lo,OR_Position:lo,30,28,2,24.17,894.31,26829.4,0,30
LONG,Bar_Range:hi,D2D_ATR:hi,29,28,1,21.52,1225.94,35552.4,0,29
LONG,Bar_Range:hi,Momentum_Value:hi,30,28,2,24.23,1784.3,53528.9,0,30
LONG,Bar_Range:hi,PrevDay_Low_Side:==-1,29,28,1,15.14,1223.78,35489.7,0,29
LONG,Body_Size:hi,RangeOsc_State:==-1,29,28,1,25.28,636.89,18469.7,0,29
LONG,D2D_Signal:==1,Slope_EMA_ST:lo,28,28,0,18.32,1669.46,46745.0,0,28
LONG,Momentum_Value:hi,PoC_Side:==1,28,28,0,15.71,1788.34,50073.5,0,28
LONG,D2D_ATR:hi,Micro_RangeVelocity:hi,29,28,1,22.41,936.61,27161.8,0,29
LONG,Micro_FailedBreak:hi,RangeOsc_State:==-1,28,28,0,22.93,622.6,17432.8,0,28
LONG,Micro_Hurst:hi,Upper_Wick:hi,28,28,0,16.93,1929.07,54013.9,12,16
LONG,Micro_FailedBreak:hi,Micro_Rejection:lo,29,28,1,10.1,300.97,8728.2,22,7
LONG,RangeOsc_State:==-2,Slope_Accel_LT:hi,29,28,1,9.52,267.2,7748.7,23,6
LONG,Micro_Rejection:lo,Slope_Accel_LT:hi,28,28,0,8.82,191.44,5360.2,0,28
LONG,ADX_Rising:==0,Harmonic_OBVf_Concordance:==0,30,28,2,8.43,342.89,10286.6,0,30
LONG,Micro_HLAsymmetry:hi,RangeOsc_Val:lo,29,28,1,21.38,403.86,11711.8,29,0
LONG,AT_Regime_ST:==1,Session_High_Dist_ATR:lo,28,28,0,11.43,1611.64,45126.0,0,28
LONG,Micro_FailedBreak:hi,VWAP_Sigma:hi,29,28,1,18.31,792.62,22986.1,0,29
LONG,Micro_LogReturn:hi,Momentum_Value:hi,29,28,1,23.97,1826.21,52960.1,0,29
LONG,Micro_LogReturn:hi,Micro_RangeVelocity:lo,30,28,2,13.57,846.56,25396.7,19,11
LONG,Bars_Since_Flip:hi,Slope_Accel_LT:hi,30,28,2,15.4,211.75,6352.6,10,20
LONG,AT_Regime_ST:==1,Micro_RangeAccel:hi,28,28,0,16.21,375.44,10512.3,0,28
LONG,D2D_ATR_MA:hi,Momentum_Value:hi,30,28,2,23.5,1117.88,33536.5,0,30
LONG,Micro_FailedBreak:hi,Micro_VolOfVol:hi,28,28,0,20.86,1275.18,35705.0,0,28
LONG,Micro_VPIN:lo,OR_Low_Side:==-1,28,28,0,13.04,274.99,7699.8,0,28
LONG,ADX_Value:hi,OBV_Macd:lo,29,28,1,9.93,778.65,22580.9,29,0
LONG,Bars_Since_Flip:hi,Micro_Rejection:lo,30,28,2,13.2,276.07,8282.2,0,30
LONG,D2D_Signal:==1,VWAP_Side:==1,28,28,0,8.25,959.76,26873.4,27,1
LONG,Harmonic_OBVf_Concordance:==0,OR_High_Side:==-1,29,27,2,9.69,323.81,9390.6,0,29
LONG,Lower_Wick:hi,OR_Low_Side:==-1,28,27,1,19.79,639.68,17911.0,0,28
LONG,Micro_MicroGap:hi,OBV_Macd:lo,29,27,2,13.38,605.04,17546.3,28,1
LONG,OR_High_Side:==-1,Upper_Wick:hi,27,27,0,17.15,1353.19,36536.0,0,27
LONG,AT_Regime_ST:==1,Micro_TickIntensity:hi,28,27,1,12.04,352.92,9881.7,0,28
LONG,Micro_VolOfVol:hi,Session_Low_Dist_ATR:lo,27,27,0,20.56,1297.96,35044.9,0,27
LONG,AT_Regime_ST:==1,Round_500_Dist_ATR:lo,27,27,0,13.37,430.64,11627.3,0,27
LONG,Micro_Hurst:hi,OR_Low_Side:==-1,27,27,0,19.37,1686.9,45546.4,0,27
LONG,Bar_Range:hi,Micro_Rejection:lo,29,27,2,10.76,177.65,5151.8,0,29
LONG,VWAP_Sigma:lo,Volume:hi,27,27,0,7.11,281.03,7587.8,23,4
LONG,Micro_HLAsymmetry:hi,Micro_RangeVelocity:lo,29,27,2,16.34,897.82,26036.9,0,29
LONG,Micro_HLAsymmetry:hi,Volume_Avg_10:hi,27,27,0,17.74,1128.73,30475.8,0,27
LONG,Round_100_Dist_ATR:lo,Slope_EMA_ST:lo,28,27,1,13.61,299.02,8372.6,27,1
LONG,Lower_Wick:hi,Micro_RollProxy:hi,29,27,2,18.31,720.01,20880.4,0,29
