direction,lag,condition,win_true,win_rate,lose_true,lose_rate,lift,p,BY_reject
LONG,1,PoC_Side:==0,0,0.0,9,0.01293103448275862,0.0,0.12265122496180861,False
LONG,1,PoC_Side:==1,251,0.9920948616600791,674,0.9683908045977011,1.0244777799931974,0.037065236381794014,False
LONG,1,PrevDay_Close_Dist_ATR:hi,24,0.09486166007905138,82,0.11781609195402298,0.8051672611587776,0.35273066727083824,False
LONG,1,PrevDay_Close_Dist_ATR:lo,105,0.4150197628458498,223,0.3204022988505747,1.2953083181197824,0.008591843681123958,False
LONG,1,PrevDay_Close_Side:==-1,156,0.616600790513834,325,0.46695402298850575,1.3204743083003951,5.174299677469484e-05,True
LONG,1,PrevDay_Close_Side:==0,0,0.0,0,0.0,inf,1.0,False
LONG,1,PrevDay_Close_Side:==1,97,0.383399209486166,371,0.5330459770114943,0.7192610506802467,5.174299677469484e-05,True
LONG,1,PrevDay_High_Dist_ATR:hi,24,0.09486166007905138,84,0.1206896551724138,0.7859966120835685,0.2992265573924296,False
LONG,1,PrevDay_High_Dist_ATR:lo,93,0.3675889328063241,258,0.3706896551724138,0.9916352605938045,0.9395683880484276,False
LONG,1,PrevDay_High_Side:==-1,230,0.9090909090909091,530,0.7614942528735632,1.1938250428816466,1.2369166668940687e-07,True
LONG,1,PrevDay_High_Side:==0,0,0.0,0,0.0,inf,1.0,False
LONG,1,PrevDay_High_Side:==1,23,0.09090909090909091,166,0.23850574712643677,0.3811610076670318,1.2369166668940687e-07,True
LONG,1,PrevDay_Low_Dist_ATR:hi,10,0.039525691699604744,69,0.09913793103448276,0.39869393366557826,0.003151596362748218,False
LONG,1,PrevDay_Low_Dist_ATR:lo,136,0.5375494071146245,272,0.39080459770114945,1.375494071146245,6.123326403646504e-05,True
LONG,1,PrevDay_Low_Side:==-1,78,0.308300395256917,127,0.1824712643678161,1.6895832684946002,5.465986546167484e-05,True
LONG,1,PrevDay_Low_Side:==0,0,0.0,0,0.0,inf,1.0,False
LONG,1,PrevDay_Low_Side:==1,175,0.691699604743083,569,0.8175287356321839,0.8460859840091138,5.465986546167484e-05,True
LONG,1,RangeOsc_State:==-1,102,0.4031620553359684,161,0.23132183908045978,1.7428620528809564,3.224128651001329e-07,True
LONG,1,RangeOsc_State:==-2,51,0.2015810276679842,119,0.17097701149425287,1.178994918125353,0.29264389649761635,False
