direction,condition,location,turn,in_book_side,n_297A,rate_297A,n_Ai297,rate_Ai297,rate_untraded_hm,lift_297A,lift_Ai297,lift_973,p_297A_vs_untraded,p_297A_vs_Ai297,BY_297A_vs_untraded,BY_297A_vs_Ai297
LONG,Micro_RangeAccel:hi,False,False,True,97,0.27873563218390807,113,0.44664031620553357,0.364120906857213,0.7655029605130912,1.2217219621752895,0.9580008830789372,0.0012452030030711283,3.0018305897980675e-05,True,True
LONG,Micro_RangeAccel:lo,False,False,True,159,0.45689655172413796,92,0.36363636363636365,0.30150502587492,1.5153861876706574,1.2107240412632896,1.3874199579260629,1.1638342441836715e-09,0.023834198084790897,True,False
LONG,Micro_RangeVelocity:hi,False,False,True,90,0.25862068965517243,118,0.466403162055336,0.34767261182321946,0.7438627054887857,1.3281869837053457,0.9912645694718089,0.0002595265261839555,1.655561217744723e-07,True,True
LONG,Micro_RangeVelocity:lo,False,False,True,164,0.47126436781609193,76,0.30039525691699603,0.31348506133453613,1.5033072574810233,0.9605065743727766,1.275119080503062,3.566131629506623e-10,2.4322029928702622e-05,True,True
LONG,Micro_Rejection:hi,False,False,True,58,0.16666666666666666,33,0.13043478260869565,0.18783927461172192,0.8872833810244388,0.6831596364010645,0.8005416999273461,0.4822107904872941,0.2496276026435052,False,False
LONG,Micro_Rejection:lo,False,False,True,120,0.3448275862068966,63,0.2490118577075099,0.1757610852736875,1.9619108841410833,1.4049648046992205,1.726320006765955,1.314962774202662e-13,0.012091144265580028,True,False
LONG,Micro_RollProxy:hi,False,False,True,180,0.5172413793103449,152,0.6007905138339921,0.36767711804503006,1.4067815317432872,1.6315372091501694,1.5014790201431354,2.950041703800739e-08,0.046262633064428516,True,False
LONG,Micro_RollProxy:lo,False,False,True,102,0.29310344827586204,68,0.26877470355731226,0.3847529325739672,0.761796528268213,0.7047328016190099,0.7378968906376433,0.0007735084625836784,0.5224231168535465,True,False
LONG,Micro_ThrustEff:hi,False,False,False,119,0.34195402298850575,138,0.5454545454545454,0.2725320384438589,1.2547296271698625,1.9842363372234093,1.5633619372530871,0.026664247592607857,7.787544223951743e-07,False,True
LONG,Micro_ThrustEff:lo,False,False,True,69,0.19827586206896552,16,0.06324110671936758,0.14765385296797087,1.3428424526922138,0.4301229280739677,0.959560628723447,0.006898267843083471,1.4989645590894397e-06,True,True
LONG,Micro_TickIntensity:hi,False,False,True,91,0.2614942528735632,36,0.1422924901185771,0.16285852526896677,1.6056528354392006,0.8574054422817973,1.2872242960143065,2.2612709636801175e-08,0.0003867869279777676,True,True
LONG,Micro_TickIntensity:lo,False,False,True,75,0.21551724137931033,90,0.3557312252964427,0.22194616379746776,0.971033865563795,1.60293155875411,1.2370263035612303,0.036340197044452474,0.00020205892634489312,False,True
LONG,Micro_VPIN:hi,False,False,True,82,0.23563218390804597,63,0.2490118577075099,0.22259788714682655,1.0585553480686092,1.121624386746862,1.0850645648204111,0.5131017799476469,0.7721460776456042,False,False
LONG,Micro_VPIN:lo,False,False,True,80,0.22988505747126436,41,0.16205533596837945,0.19450130426466805,1.1819203904074997,0.8337494467531088,1.0354101827296731,0.13370606719051656,0.05000413739770676,False,False
LONG,Micro_VolAccel:hi,False,False,False,84,0.2413793103448276,86,0.33992094861660077,0.24361041832663363,0.9908414919315374,1.3801013979388064,1.1557495779063063,0.7540312182962025,0.01011543490660002,False,False
LONG,Micro_VolAccel:lo,False,False,False,98,0.28160919540229884,53,0.20948616600790515,0.254662688567642,1.1058125435893977,0.8326474332405035,0.9916269474106557,0.2903471957015582,0.04596024360958932,False,False
LONG,Micro_VolOfVol:hi,False,False,True,121,0.34770114942528735,102,0.4031620553359684,0.26397440336325423,1.317177517953576,1.502737833036895,1.3960254919069852,0.037191709062685346,0.1720180521798262,False,False
LONG,Micro_VolOfVol:lo,False,False,True,56,0.16091954022988506,49,0.19367588932806323,0.20837502448776624,0.7722592504810128,0.9535726157274081,0.8474561747539905,0.1879579812819187,0.32782522256811486,False,False
LONG,Micro_WickImbalance:hi,False,False,True,139,0.3994252873563218,52,0.20553359683794467,0.33037162961781197,1.2090181224652796,0.6251416688257156,0.9639139269306728,0.0005259583888517622,3.838864943195443e-07,True,True
LONG,Micro_WickImbalance:lo,False,False,True,130,0.3735632183908046,102,0.4031620553359684,0.3105338282247922,1.202971091833467,1.2889481584436613,1.2393158138552518,0.008065334041418775,0.4974207276882613,False,False
LONG,Momentum_Value:hi,False,False,True,206,0.5919540229885057,161,0.6363636363636364,0.575708027367838,1.028219157712539,1.0997557969083684,1.058422223960874,0.5102595307441821,0.3093159356181685,False,False
LONG,Momentum_Value:lo,False,False,True,42,0.1206896551724138,54,0.2134387351778656,0.07321804008908317,1.6483595439808647,2.8496646219416766,2.1607276971546416,0.0003178175162428869,0.0032135748909801623,True,True
LONG,MultiDay_Position:hi,True,False,True,77,0.22126436781609196,34,0.13438735177865613,0.39869521688696424,0.554971212204995,0.339908480159132,0.46487695397697687,1.489467855907592e-11,0.007638640244434324,True,False
LONG,MultiDay_Position:lo,True,False,True,125,0.35919540229885055,106,0.4189723320158103,0.18660161355930086,1.9249319201878201,2.200484566010784,2.0422855733440968,6.631049925454836e-12,0.14907420693758444,True,False
LONG,MultiDay_Slope:hi,False,False,False,41,0.11781609195402298,35,0.1383399209486166,0.19534822465342078,0.6031080761703758,0.7257070956333898,0.6539884327534122,4.401448612324464e-05,0.4586974586439557,True,False
LONG,MultiDay_Slope:lo,False,False,True,82,0.23563218390804597,53,0.20948616600790515,0.23555283006486755,1.00033688342083,0.9025869995676817,0.9595395158034776,0.9492445569407775,0.4888154282524505,False,False
LONG,OBV_Macd:hi,False,False,False,107,0.3074712643678161,32,0.12648221343873517,0.4871043202678797,0.631222618183153,0.2674196608186224,0.48067877064978376,2.2101276506480392e-08,1.5567654305140096e-07,True,True
LONG,OBV_Macd:lo,False,False,True,118,0.3390804597701149,149,0.5889328063241107,0.11948815374502815,2.837774701027414,4.797538611579601,3.675687603119476,1.3517264911316614e-28,1.7408214652868088e-09,True,True
LONG,OBV_Velocity:hi,False,False,True,111,0.31896551724137934,78,0.308300395256917,0.27588440636870337,1.156156382449179,1.104446081389059,1.134239928970452,0.20890394689191516,0.7902838416755261,False,False
LONG,OBV_Velocity:lo,False,False,False,14,0.040229885057471264,32,0.12648221343873517,0.04332722063041422,0.9285129411054645,3.010236806769692,1.7893077876433026,1.0,0.00013784141482923003,False,True
LONG,OBVf_DirStepCount:hi,False,False,False,41,0.11781609195402298,0,0.0,0.186249450539068,0.6325714873951249,0.0,0.3697131716505469,0.0014606462226930458,1.0272333448614275e-10,True,True
