direction,condition,variable,in_book_this_dir,book_group,traded_bars_true,traded_rate,untraded_rate_hourmatched,untraded_rate_raw,lift_hourmatched,lift_raw,fisher_p_raw
LONG,Micro_Rejection:hi,Micro_Rejection,True,both,91,0.15141430948419302,0.1891398155747987,0.18268308872335717,0.8005416999273405,0.8288359395624437,0.05152550710511167
LONG,Micro_Rejection:lo,Micro_Rejection,True,LONG-only,183,0.30449251247920134,0.17638242694622572,0.17670919684342504,1.7263200067659403,1.7231277031325087,1.0921388552381076e-13
LONG,Micro_RollProxy:hi,Micro_RollProxy,True,both,332,0.5524126455906821,0.36791233056192063,0.3681687440076702,1.5014790201431143,1.5004333056017747,3.4061756666227583e-19
LONG,Micro_RollProxy:lo,Micro_RollProxy,True,both,170,0.28286189683860236,0.38333526055947265,0.3807065417803673,0.7378968906376346,0.7429919525832254,8.803115399297331e-07
LONG,Micro_ThrustEff:hi,Micro_ThrustEff,False,SHORT-only,257,0.4276206322795341,0.27352631664481625,0.2869680654915554,1.563361937253061,1.4901331670722702,8.486624895899464e-13
LONG,Micro_ThrustEff:lo,Micro_ThrustEff,True,both,85,0.14143094841930118,0.14739136244830614,0.14433217788922487,0.9595606287234407,0.979898942063007,0.9055287250310979
LONG,Micro_TickIntensity:hi,Micro_TickIntensity,True,both,127,0.2113144758735441,0.1641629019339114,0.14440592964082896,1.2872242960143028,1.4633365568791545,1.61058366680788e-05
LONG,Micro_TickIntensity:lo,Micro_TickIntensity,True,both,165,0.27454242928452577,0.22193742242518175,0.26646507854561546,1.237026303561212,1.0303129805338735,0.6715033666001788
LONG,Micro_VPIN:hi,Micro_VPIN,True,LONG-only,145,0.24126455906821964,0.2223504175607775,0.2207389925510731,1.0850645648204016,1.0929856854012663,0.2482712289175431
LONG,Micro_VPIN:lo,Micro_VPIN,True,both,121,0.20133111480865223,0.19444575508991124,0.1969909285345527,1.0354101827296627,1.0220324169563892,0.7934043177733705
LONG,Micro_VolAccel:hi,Micro_VolAccel,False,SHORT-only,170,0.28286189683860236,0.24474324044402682,0.250018437937901,1.155749577906293,1.1313641472668465,0.0753273266379364
LONG,Micro_VolAccel:lo,Micro_VolAccel,False,SHORT-only,151,0.2512479201331115,0.25336939540537445,0.25562357105981265,0.9916269474106423,0.9828824434751469,0.848417937058165
LONG,Micro_VolOfVol:hi,Micro_VolOfVol,True,LONG-only,223,0.37104825291181365,0.2657890239561131,0.2945644959067778,1.3960254919069979,1.2596502907439362,8.584167914800657e-05
LONG,Micro_VolOfVol:lo,Micro_VolOfVol,True,both,105,0.17470881863560733,0.20615675929947141,0.18939449811933035,0.8474561747539814,0.9224598410748441,0.39415860987097084
LONG,Micro_WickImbalance:hi,Micro_WickImbalance,True,both,191,0.3178036605657238,0.3297012852358004,0.3096836049856184,0.9639139269306534,1.026220489071362,0.6850906997963038
LONG,Micro_WickImbalance:lo,Micro_WickImbalance,True,both,232,0.3860232945091514,0.31148097215698123,0.3059960174054134,1.2393158138552427,1.2615304531813891,4.7668039245437065e-05
LONG,Momentum_Value:hi,Momentum_Value,True,both,367,0.610648918469218,0.5769426459924512,0.5731986134670698,1.0584222239609027,1.0653356517658423,0.06996177001624962
LONG,Momentum_Value:lo,Momentum_Value,True,LONG-only,96,0.15973377703826955,0.07392591729564782,0.06674533520171104,2.1607276971546407,2.393182632996571,2.4599029288658555e-14
