direction,condition,bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,share_traded_bars
SHORT,VWAP_Sigma:lo,21,21,0,5.571428571428571,293.31428571428575,0.056451612903225805
SHORT,VWAP_Sigma_ATR:lo,21,21,0,5.714285714285714,887.0047619047618,0.056451612903225805
SHORT,Micro_MicroGap:hi,21,20,1,4.761904761904762,886.8666666666666,0.056451612903225805
SHORT,Micro_PriceAccel:lo,20,20,0,4.95,204.85999999999999,0.053763440860215055
SHORT,PrevDay_Low_Side:==1,20,20,0,5.65,223.4,0.053763440860215055
SHORT,Slope_EMA_ST:hi,21,20,1,4.666666666666667,217.95238095238096,0.056451612903225805
SHORT,Upper_Wick:hi,20,20,0,5.0,195.065,0.053763440860215055
SHORT,D2D_Dn_Count:hi,19,19,0,5.894736842105263,936.8421052631579,0.051075268817204304
SHORT,Micro_BarOverlap:hi,20,19,1,5.15,100.36,0.053763440860215055
SHORT,OBV_Velocity:lo,18,18,0,4.944444444444445,203.29444444444445,0.04838709677419355
SHORT,Slope_EMA_ST:lo,18,18,0,4.777777777777778,99.36666666666666,0.04838709677419355
SHORT,Micro_FailedBreak:lo,16,16,0,4.6875,132.775,0.043010752688172046
SHORT,Micro_IBSP:hi,17,16,1,4.529411764705882,122.62941176470588,0.0456989247311828
SHORT,Micro_ThrustEff:lo,16,16,0,4.875,1059.525,0.043010752688172046
SHORT,Micro_VPIN:lo,17,16,1,4.823529411764706,226.3470588235294,0.0456989247311828
SHORT,Round_500_Dist_ATR:lo,16,16,0,4.5625,171.975,0.043010752688172046
SHORT,Slope_EMA_LT:hi,17,16,1,4.823529411764706,226.3470588235294,0.0456989247311828
SHORT,VA_Position:hi,16,16,0,4.5,235.84375,0.043010752688172046
SHORT,Micro_PriceAccel:hi,15,15,0,5.066666666666666,246.7866666666667,0.04032258064516129
SHORT,OR_High_Dist_ATR:hi,15,15,0,4.666666666666667,153.48666666666668,0.04032258064516129
SHORT,Sqz_State:==-1,15,15,0,4.666666666666667,153.48666666666668,0.04032258064516129
SHORT,VWAP_Dist_ATR:lo,15,15,0,6.0,1194.0,0.04032258064516129
SHORT,AT_Score_LT:lo,14,14,0,4.357142857142857,102.48571428571428,0.03763440860215054
SHORT,DailyOpen_Side:==-1,15,14,1,4.4,226.2,0.04032258064516129
SHORT,KAMA_Dist:hi,14,14,0,4.642857142857143,137.45,0.03763440860215054
SHORT,Micro_TickIntensity:lo,14,14,0,5.142857142857143,197.32142857142858,0.03763440860215054
SHORT,OBV_Velocity:hi,14,14,0,5.285714285714286,148.49285714285716,0.03763440860215054
SHORT,WeeklyOpen_Side:==-1,14,14,0,5.142857142857143,333.5642857142857,0.03763440860215054
SHORT,AT_Slope_LT:hi,13,13,0,5.076923076923077,1224.1538461538462,0.03494623655913978
SHORT,Micro_BarEntropy:hi,12,12,0,4.333333333333333,121.15833333333335,0.03225806451612903
SHORT,Micro_LogReturn:hi,12,12,0,4.666666666666667,144.88333333333333,0.03225806451612903
SHORT,Micro_LogReturn:lo,12,12,0,4.833333333333333,218.45000000000002,0.03225806451612903
SHORT,OBVf_DirStepCount:hi,12,12,0,5.083333333333333,246.15833333333333,0.03225806451612903
SHORT,RangeOsc_State:==-2,12,12,0,4.416666666666667,183.98333333333335,0.03225806451612903
SHORT,Slope_Accel_ST:hi,12,12,0,4.916666666666667,287.7083333333333,0.03225806451612903
SHORT,VWAP_Sigma:hi,12,12,0,4.416666666666667,183.98333333333335,0.03225806451612903
SHORT,Efficiency_Ratio:lo,11,11,0,3.909090909090909,183.43636363636364,0.02956989247311828
SHORT,Micro_RollProxy:lo,12,11,1,4.5,33.733333333333334,0.03225806451612903
SHORT,Micro_VolAccel:hi,12,11,1,4.833333333333333,98.01666666666667,0.03225806451612903
SHORT,MultiDay_Slope:lo,11,11,0,4.545454545454546,169.97272727272727,0.02956989247311828
SHORT,OBV_Macd:lo,11,11,0,4.545454545454546,169.97272727272727,0.02956989247311828
